"time","signal"
"19JUN17:13:30",1833.44
"19JUN17:14:00",1895.885
"19JUN17:14:30",1994.781667
"19JUN17:15:00",2059.08
"19JUN17:15:30",2153.171667
"19JUN17:16:00",2085.083333
"19JUN17:16:30",1951.068333
"19JUN17:17:00",1963.383333
"19JUN17:17:30",2069.125
"19JUN17:18:00",2222.868333
"19JUN17:18:30",2234.286667
"19JUN17:19:00",2258.161667
"19JUN17:19:30",2266.626667
"19JUN17:20:00",2218.451667
"19JUN17:20:30",2084.043333
"19JUN17:21:00",1980.646667
"19JUN17:21:30",1845.971667
"19JUN17:22:00",891.2683333
"19JUN17:22:30",727.2866667
"19JUN17:23:00",737.255
"19JUN17:23:30",735.8633333
"20JUN17:00:00",770.065
"20JUN17:00:30",961.5783333
"20JUN17:01:00",991.475
"20JUN17:01:30",985.5183333
"20JUN17:02:00",984.7166667
"20JUN17:02:30",979.545
"20JUN17:03:00",909.5866667
"20JUN17:03:30",874.4883333
"20JUN17:04:00",869.6483333
"20JUN17:04:30",921.9733333
"20JUN17:05:00",1045.2316667
"20JUN17:05:30",1021.7983333
"20JUN17:06:00",1066.3366667
"20JUN17:06:30",1235.715
"20JUN17:07:00",1146.7733333
"20JUN17:07:30",1065.0466667
"20JUN17:08:00",1168.205
"20JUN17:08:30",1140.9733333
"20JUN17:09:00",1054.01
"20JUN17:09:30",1093.4783333
"20JUN17:10:00",1383.5983333
"20JUN17:10:30",1341.9616667
"20JUN17:11:00",1595.001667
"20JUN17:11:30",1665.163333
"20JUN17:12:00",1564.816667
"20JUN17:12:30",1512.69
"20JUN17:13:00",1506.22
"20JUN17:13:30",1515.496667
"20JUN17:14:00",1532.576667
"20JUN17:14:30",1565.49
"20JUN17:15:00",1620.96
"20JUN17:15:30",1689.433333
"20JUN17:16:00",1753.513333
"20JUN17:16:30",1751.635
"20JUN17:17:00",1771.82
"20JUN17:17:30",1806.438333
"20JUN17:18:00",1843.47
"20JUN17:18:30",1829.135
"20JUN17:19:00",1797.715
"20JUN17:19:30",1806.638333
"20JUN17:20:00",1773.766667
"20JUN17:20:30",1780.501667
"20JUN17:21:00",1715.091667
"20JUN17:21:30",1645.935
"20JUN17:22:00",842.1133333
"20JUN17:22:30",710.0866667
"20JUN17:23:00",721.545
"20JUN17:23:30",724.7966667
"21JUN17:00:00",749.6983333
"21JUN17:00:30",942.1816667
"21JUN17:01:00",970.135
"21JUN17:01:30",965.9983333
"21JUN17:02:00",970.95
"21JUN17:02:30",968.3616667
"21JUN17:03:00",910.6733333
"21JUN17:03:30",905.3533333
"21JUN17:04:00",908.135
"21JUN17:04:30",948.8816667
"21JUN17:05:00",1102.4233333
"21JUN17:05:30",1075.9533333
"21JUN17:06:00",1233.5233333
"21JUN17:06:30",1162.0433333
"21JUN17:07:00",1083.755
"21JUN17:07:30",1057.7016667
"21JUN17:08:00",1083.6116667
"21JUN17:08:30",1125.1366667
"21JUN17:09:00",1033.1383333
"21JUN17:09:30",1019.0416667
"21JUN17:10:00",1343.2433333
"21JUN17:10:30",1269.3133333
"21JUN17:11:00",1457.7883333
"21JUN17:11:30",1513.425
"21JUN17:12:00",1513.925
"21JUN17:12:30",1503.608333
"21JUN17:13:00",1450.3333333
"21JUN17:13:30",1458.9933333
"21JUN17:14:00",1467.8483333
"21JUN17:14:30",1448.42
"21JUN17:15:00",1496.7
"21JUN17:15:30",1540.85
"21JUN17:16:00",1482.755
"21JUN17:16:30",1561.69
"21JUN17:17:00",734.65
"21JUN17:17:30",1377.958
"21JUN17:18:00",1807.66
"21JUN17:18:30",1858.611667
"21JUN17:19:00",1866.286667
"21JUN17:19:30",1848.425
"21JUN17:20:00",1821.048333
"21JUN17:20:30",1831.493333
"21JUN17:21:00",1811.345
"21JUN17:21:30",1786.505
"21JUN17:22:00",874.6116667
"21JUN17:22:30",723.0133333
"21JUN17:23:00",721.4033333
"21JUN17:23:30",734.975
"22JUN17:00:00",750.0566667
"22JUN17:00:30",951.9266667
"22JUN17:01:00",975.97
"22JUN17:01:30",981.13
"22JUN17:02:00",964.065
"22JUN17:02:30",965.565
"22JUN17:03:00",911.32
"22JUN17:03:30",907.6116667
"22JUN17:04:00",903.28
"22JUN17:04:30",905.94
"22JUN17:05:00",926.1533333
"22JUN17:05:30",1126.125
"22JUN17:06:00",1169.0433333
"22JUN17:06:30",1211.3716667
"22JUN17:07:00",1179.4
"22JUN17:07:30",1146.5533333
"22JUN17:08:00",1178.07
"22JUN17:08:30",1062.9016667
"22JUN17:09:00",1001.625
"22JUN17:09:30",990.7266667
"22JUN17:10:00",1220.9533333
"22JUN17:10:30",1261.475
"22JUN17:11:00",1571.975
"22JUN17:11:30",1657.985
"22JUN17:12:00",1587.421667
"22JUN17:12:30",1497.0766667
"22JUN17:13:00",1530.431667
"22JUN17:13:30",1551.516667
"22JUN17:14:00",1567.416667
"22JUN17:14:30",1654.753333
"22JUN17:15:00",1713.896667
"22JUN17:15:30",1731.833333
"22JUN17:16:00",1828.306667
"22JUN17:16:30",1809.635
"22JUN17:17:00",1812.281667
"22JUN17:17:30",1825.413333
"22JUN17:18:00",1829.241667
"22JUN17:18:30",1832.123333
"22JUN17:19:00",1799.623333
"22JUN17:19:30",1754.371667
"22JUN17:20:00",1726.303333
"22JUN17:20:30",1746.543333
"22JUN17:21:00",1653.858333
"22JUN17:21:30",1601.845
"22JUN17:22:00",828.3333333
"22JUN17:22:30",714.2566667
"22JUN17:23:00",706.48
"22JUN17:23:30",707.43
"23JUN17:00:00",735.4783333
"23JUN17:00:30",928.8933333
"23JUN17:01:00",959.0816667
"23JUN17:01:30",954.7733333
"23JUN17:02:00",959.7983333
"23JUN17:02:30",955.63
"23JUN17:03:00",900.4216667
"23JUN17:03:30",894.2016667
"23JUN17:04:00",887.9633333
"23JUN17:04:30",899.5483333
"23JUN17:05:00",905.95
"23JUN17:05:30",1310.435
"23JUN17:06:00",1435.6483333
"23JUN17:06:30",1369.59
"23JUN17:07:00",1287.9016667
"23JUN17:07:30",1143.9533333
"23JUN17:08:00",1039.6383333
"23JUN17:08:30",1031.6733333
"23JUN17:09:00",1040.9533333
"23JUN17:09:30",995.9333333
"23JUN17:10:00",1213.4433333
"23JUN17:10:30",1227.585
"23JUN17:11:00",1541.638333
"23JUN17:11:30",1675.555
"23JUN17:12:00",1654.15
"23JUN17:12:30",1560.036667
"23JUN17:13:00",1526.93
"23JUN17:13:30",1527.51
"23JUN17:14:00",1513.206667
"23JUN17:14:30",1541.428333
"23JUN17:15:00",1542.493333
"23JUN17:15:30",1629.003333
"23JUN17:16:00",1736.646667
"23JUN17:16:30",1740.001667
"23JUN17:17:00",1772.085
"23JUN17:17:30",1785.333333
"23JUN17:18:00",1769.016667
"23JUN17:18:30",1757.893333
"23JUN17:19:00",1780.51
"23JUN17:19:30",1789.045
"23JUN17:20:00",1768.015
"23JUN17:20:30",1730.97
"23JUN17:21:00",1759.6
"23JUN17:21:30",1746.413333
"23JUN17:22:00",863.6933333
"23JUN17:22:30",717.035
